# Det   A           B               C           D
01    9.247925E-10    -1.452907E-05   2.358543E-01    -627.204006
02    8.825165E-10    -1.406089E-05   2.403846E-01    -632.477681
03    8.833786E-10    -1.457403E-05   2.570369E-01    -687.633489
04    1.098347E-09    -1.776115E-05   2.677161E-01    -713.509567
05    9.505661E-10    -1.655614E-05   2.582263E-01    -696.159157
06    9.711168E-10    -1.588821E-05   2.548600E-01    -675.027383
07    9.804404E-10    -1.538701E-05   2.706247E-01    -717.561997
08    9.468389E-10    -1.533909E-05   2.642363E-01    -716.188687
09    9.432826E-10    -1.499815E-05   2.508121E-01    -668.602701
10    1.138414E-09    -1.895993E-05   2.523879E-01    -637.871200
11    9.565775E-10    -1.559911E-05   2.604603E-01    -681.865356
12    8.729993E-10    -1.417232E-05   2.432376E-01    -651.723774
13    1.225716E-09    -1.833666E-05   2.599706E-01    -650.279323
14    9.492198E-10    -1.605150E-05   2.478440E-01    -646.548431
15    1.023034E-09    -1.699287E-05   2.516124E-01    -652.410182
16    9.578312E-10    -1.612274E-05   2.634440E-01    -723.464304
17    8.920356E-10    -1.391473E-05   2.273997E-01    -606.595084
18    1.157867E-09    -1.877692E-05   2.442097E-01    -624.876387
19    8.963242E-10    -1.409928E-05   2.513171E-01    -664.385172
20    1.143501E-09    -1.731311E-05   2.489136E-01    -654.886786
21    1.060449E-09    -1.780673E-05   2.448185E-01    -620.948523
22    1.228253E-09    -2.163927E-05   2.756699E-01    -737.308496
23    1.157085E-09    -1.833373E-05   2.743905E-01    -732.981029
24    1.067166E-09    -1.788098E-05   2.547993E-01    -664.132068
25    9.981785E-10    -1.597507E-05   2.400915E-01    -636.587048
26    9.513542E-10    -1.604382E-05   2.511902E-01    -678.983257
27    9.698987E-10    -1.666589E-05   2.370033E-01    -619.522572
28    1.030674E-09    -1.625169E-05   2.496491E-01    -647.659734
29    1.071133E-09    -1.665154E-05   2.659228E-01    -695.595028
30    1.106497E-09    -1.716942E-05   2.487714E-01    -645.580041
31    1.269874E-09    -2.003584E-05   2.508302E-01    -612.931704
32    1.086825E-09    -1.770134E-05   2.593110E-01    -686.363363
33    7.191673E-10    -1.177827E-05   2.170447E-01    -598.276461
34    7.463882E-10    -1.201981E-05   2.306346E-01    -627.853158
35    9.262302E-10    -1.415567E-05   2.405683E-01    -632.781942
36    8.796962E-10    -1.401135E-05   2.459226E-01    -667.189395
#Ignore below but dont remove
36     0               0           0               0
37     0               0           0               0
38     0               0           0               0 
39     0               0           0               0 
40     0               0           0               0 
41     0               0           0               0
42     0               0           0               0 
43     0               0           0               0
44     0               0           0               0  
45     0               0           0               0 
46     0               0           0               0 
47     0               0           0               0 
48     0               0           0               0 
49     0               0           0               0
48	   0	0	0	0
49     0	0	0	0
50	   0	0	0	0
51	0	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0


